Practical Cryptography for Developers,A modern practical book about cryptography for developers with code examples in Python.,https://cryptobook.nakov.com

Open Workbook of Cryptology: A project-based introduction to crypto in Python,"This is a first draft of a free (as in speech, not as in beer) textbook for a one-semester, undergraduate cryptology course. It was used for CIS 491 at Colorado State University Pueblo in the spring semester of 2021.",https://www.poritz.net/jonathan/share/owoc.pdf

Elementary Algebra,"This book provides very clear and comprehensive coverage of the usual Elementary Algebra topics, as well as some Intermediate Algebra material. It provides plenty of examples and very robust, well-constructed exercise sets.",https://resources.saylor.org/wwwresources/archived/site/textbooks/Elementary%20Algebra.pdf

A Practical Introduction to Python Programming,An introductory programming text for students with no prior programming experience.,https://www.brianheinold.net/python/A_Practical_Introduction_to_Python_Programming_Heinold.pdf

Demystifying Internet of Things Security,"This open access book reviews the threat pyramid, secure boot, chain of trust, and the SW stack leading up to defense-in-depth.",https://link.springer.com/book/10.1007/978-1-4842-2896-8

Introduction to Modern Algebra,A textbook for Math 225 Modern Algebra Course in Department of Mathematics and Computer Science at Clark University.,https://mathcs.clarku.edu/~djoyce/ma225/algebra.pdf

Algebra: A Computational Introduction,This text is an introduction to algebra for undergraduates who are interested in careers which require a strong background in mathematics.,http://www.math.toronto.edu/scherk/book.pdf

Notes on Data Structures and Programming Techniques,These are notes for Yale course CPSC 223: Data Structures and Programming Techniques for the Spring 2021 semester.,https://www.cs.yale.edu/homes/aspnes/classes/223/notes.pdf

Notes on Theory of Distributed Systems,These are notes for the Fall 2020 semester version of the Yale course CPSC 465/565 Theory of Distributed Systems. ,http://www.cs.yale.edu/homes/aspnes/classes/465/notes.pdf

Notes on Randomized Algorithms,These are notes for the Yale course CPSC 469/569 Randomized Algorithms.,http://www.cs.yale.edu/homes/aspnes/classes/469/notes.pdf

Applied Statistics with R,"This book was originally (and currently) designed for use with STAT 420, Methods of Applied Statistics, at the University of Illinois at Urbana-Champaign.",https://daviddalpiaz.github.io/appliedstats/applied_statistics.pdf

How to Think Like a Computer Scientist: Learning with Python 3,The goal of this book is to teach you to think like a computer scientist. The programming language you will be learning is Python.,https://buildmedia.readthedocs.org/media/pdf/howtothink/latest/howtothink.pdf

College Algebra,"This course is an in-depth introduction to functions. Our study will be guided by some goals, and related essential questions that are designed to get at the essence of the idea of a function. ",http://math.oit.edu/~watermang/math_111/111book.pdf

"Linear Algebra I, 4th Edition","This book is an attempt to make the subject of linear algebra as understandable as possible, for a first time student of the subject.",http://math.oit.edu/~watermang/341book.pdf

Introduction to Scientific Programming with Python,A compact introduction to scientific programming. No prior knowledge of programming is needed.,https://library.oapen.org/bitstream/handle/20.500.12657/39979/2020_Book_IntroductionToScientificProgra.pdf?sequence=1

Open Data Structures (in pseudocode) Edition 0.1Gβ,"Open Data Structures covers the implementation and analysis of data structures for sequences (lists), queues, priority queues, unordered dictionaries, ordered dictionaries, and graphs.",https://www.opendatastructures.org/ods-python.pdf

Modeling and Simulation in Python,"This book is used in a class called Modeling and Simulation at Olin College, which all students take in their first semester. It teaches the entire modeling process and give students a chance to practice it. ",https://greenteapress.com/modsimpy/ModSimPy3.pdf

Algorithmic Aspects of Machine Learning,"This is a monograph based on the class ""Algorithmic Aspects of Machine Learning"" taught at MIT in Fall 2013, Spring 2015 and Fall 2017.",https://people.csail.mit.edu/moitra/docs/bookexv2.pdf

